,total_sqft,bhk,sq_m,baths,Location,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft
485,720.0,2.0,67,1.0,other,79.0,1,0,0,0,10972.22
486,950.0,1.0,88,1.0,other,40.0,0,1,0,0,4210.53
488,505.0,1.0,47,1.0,other,23.0,0,1,0,0,4554.46
489,495.0,1.0,46,1.0,other,40.0,1,0,0,0,8080.81
490,500.0,1.0,46,1.0,other,25.0,0,1,0,0,5000.0
492,450.0,1.0,42,1.0,other,21.0,0,1,0,0,4666.67
493,900.0,2.0,84,2.0,other,70.0,0,0,0,1,7777.78
494,450.0,1.0,42,1.0,other,34.99,1,0,0,0,7775.56
495,630.0,1.0,59,1.0,other,58.0,0,1,0,0,9206.35
496,450.0,1.0,42,1.0,other,45.0,0,0,0,1,10000.0
497,968.0,3.0,90,3.0,other,82.0,1,0,0,0,8471.07
500,648.0,2.0,60,2.0,other,49.0,0,1,0,0,7561.73
501,350.0,1.0,33,1.0,other,13.0,0,1,0,0,3714.29
502,722.0,2.0,67,2.0,other,62.0,0,1,0,0,8587.26
