,total_sqft,bhk,baths,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft,Burari,Dilshad Colony,Dilshad Garden,Dwarka Mor,Hari Nagar,Laxmi Nagar,Mahavir Enclave,Mehrauli,Mohan Garden,Om Vihar,Paschim Vihar,Pitampura,Sector 16 Rohini,Sector 22 Rohini,Shahadra,Tilak Nagar,Uttam Nagar,Vikas Puri,Vishnu Garden
180,500.0,1.0,1.0,35.0,0,0,0,1,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,720.0,2.0,1.0,69.0,0,1,0,0,9583.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,800.0,2.0,2.0,60.0,0,1,0,0,7500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,900.0,3.0,3.0,75.0,0,1,0,0,8333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,600.0,1.0,1.0,23.0,0,1,0,0,3833.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,950.0,2.0,2.0,107.0,0,1,0,0,11263.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,750.0,2.0,2.0,75.0,1,0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,366.0,1.0,1.0,12.0,0,0,0,1,3278.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,850.0,2.0,2.0,75.0,0,1,0,0,8823.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,720.0,1.0,1.0,100.0,1,0,0,0,13888.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,700.0,2.0,2.0,50.0,0,1,0,0,7142.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,950.0,2.0,2.0,85.0,0,1,0,0,8947.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,320.0,1.0,1.0,18.0,0,1,0,0,5625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,968.0,3.0,3.0,115.0,0,0,0,1,11880.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,900.0,2.0,2.0,110.0,0,0,0,1,12222.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,450.0,1.0,1.0,15.0,0,1,0,0,3333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,445.0,1.0,1.0,12.0,0,1,0,0,2696.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,355.0,1.0,1.0,18.0,0,0,0,1,5070.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,460.0,1.0,1.0,21.0,0,1,0,0,4565.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,600.0,2.0,2.0,43.0,1,0,0,0,7166.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,445.0,1.0,2.0,22.5,0,1,0,0,5056.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,500.0,1.0,1.0,28.0,0,1,0,0,5600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,688.0,2.0,2.0,67.0,0,1,0,0,9738.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
